repo,path,filename,expiry,days_until_expiry,priority,recommended_action
wishlist-wizard,/Users/marknelson/Circus/Repositories/wishlist-wizard/certs/cert.pem,cert.pem,2026-11-21T19:58:26,341,High,inspect and centralize
modulo-squares,/Users/marknelson/Circus/Repositories/modulo-squares/com.modulo-squares.runner-token-refresh.plist,com.modulo-squares.runner-token-refresh.plist,,,High,migrate token refresh into runner-manager service
modulo-squares,/Users/marknelson/Circus/Repositories/modulo-squares/.act-secrets/AuthKey_RT3J2K7C2D.p8,AuthKey_RT3J2K7C2D.p8,,,High,move to central secure store; restrict access
modulo-squares,/Users/marknelson/Circus/Repositories/modulo-squares/.act-secrets/AuthKey_W2N7DYR6DU.p8,AuthKey_W2N7DYR6DU.p8,,,High,move to central secure store; restrict access
modulo-squares,/Users/marknelson/Circus/Repositories/modulo-squares/.act-secrets/AuthKey_HRTVNHA776.p8,AuthKey_HRTVNHA776.p8,,,High,move to central secure store; restrict access
modulo-squares-actions-runner,/Users/marknelson/Circus/Repositories/modulo-squares-actions-runner/_work/modulo-squares/modulo-squares/com.modulo-squares.runner-token-refresh.plist,com.modulo-squares.runner-token-refresh.plist,,,High,migrate token refresh into runner-manager service
vehicle-vitals-actions-runner,/Users/marknelson/Circus/Repositories/vehicle-vitals-actions-runner/_work/vehicle-vitals/vehicle-vitals/com.vehicle-vitals.runner-token-refresh.plist,com.vehicle-vitals.runner-token-refresh.plist,,,High,migrate token refresh into runner-manager service
vehicle-vitals,/Users/marknelson/Circus/Repositories/vehicle-vitals/com.vehicle-vitals.runner-token-refresh.plist,com.vehicle-vitals.runner-token-refresh.plist,,,High,migrate token refresh into runner-manager service
vehicle-vitals,/Users/marknelson/Circus/Repositories/vehicle-vitals/.act-secrets/AuthKey_LDRL55427Q.p8,AuthKey_LDRL55427Q.p8,,,High,move to central secure store; restrict access
vehicle-vitals,/Users/marknelson/Circus/Repositories/vehicle-vitals/.act-secrets/AuthKey_5BHHAP959B.p8,AuthKey_5BHHAP959B.p8,,,High,move to central secure store; restrict access
vehicle-vitals,/Users/marknelson/Circus/Repositories/vehicle-vitals/.act-secrets/AuthKey_RXXYKGJ4T4.p8,AuthKey_RXXYKGJ4T4.p8,,,High,move to central secure store; restrict access
